World Rank,Institution,Country,National Rank,Total Score,Additional Score
500,Harvard University,USA,1,100,100
499,University of Cambridge,UK,1,72.6,96.3
498,Stanford University,USA,2,72.5,39.7
497,University of California, Berkeley,USA,3,72.1,70.6
496,Massachusetts Institute of Technology (MIT),USA,4,69.7,72.9
495,California Institute of Technology,USA,5,66,57.1
494,Columbia University,USA,6,61.8,78.2
493,Princeton University,USA,7,58.6,61.1
493,University of Chicago,USA,7,58.6,72.9
491,University of Oxford,UK,2,57.6,62
490,Yale University,USA,9,55.9,50.3
489,Cornell University,USA,10,54.1,44.9
488,University of California, San Diego,USA,11,50.5,17.1
487,University of California, Los Angeles,USA,12,50.4,26.4
486,University of Pennsylvania,USA,13,50.1,34.2
485,University of Wisconsin - Madison,USA,14,48.8,41.5
484,University of Washington,USA,15,48.5,27.7
483,University of California, San Francisco,USA,16,47.7,0
482,The University of Tokyo,Japan,1,46.7,34.8
481,The Johns Hopkins University,USA,17,46.6,49.5
480,University of Michigan - Ann Arbor,USA,18,44.5,41.5
479,Kyoto University,Japan,2,43.9,38.3
478,The Imperial College of Science, Technology and Medicine,UK,3,43.4,20.1
477,University of Toronto,Canada,1,42.8,27.1
476,University of Illinois at Urbana-Champaign,USA,19,42.5,40.1
475,University College London,UK,4,42.2,29.6
474,Swiss Federal Institute of Technology Zurich,Switzerland,1,41.2,38.8
473,Washington University in St. Louis,USA,20,40.4,24.2
472,New York University,USA,21,38.4,36.8
471,Rockefeller University,USA,22,38.3,21.8
470,Duke University,USA,23,38.2,20.1
469,University of Minnesota, Twin Cities,USA,24,37.8,34.8
468,Northwestern University,USA,25,37.6,21
467,University of Colorado at Boulder,USA,26,36.4,16
466,University of California, Santa Barbara,USA,27,36.1,0
465,University of British Columbia,Canada,2,35.5,20.1
464,University of Maryland, College Park,USA,28,35.4,25
463,The University of Texas Southwestern Medical Center at Dallas,USA,29,35.2,23.4
462,The University of Texas at Austin,USA,30,34.9,21
461,Utrecht University,Netherlands,1,33.4,29.6
460,Vanderbilt University,USA,31,33.2,12.1
459,Pennsylvania State University - University Park,USA,32,32.7,13.5
459,University of California, Davis,USA,32,32.7,0
457,University of California, Irvine,USA,34,32.6,0
456,Pierre and Marie  Curie University - Paris 6,France,1,32.4,34.4
455,Rutgers, The State University of New Jersey - New Brunswick,USA,35,32.3,14.8
454,University of Southern California,USA,36,32,0
453,Karolinska Institute,Sweden,1,31.9,29.6
453,University of Pittsburgh,USA,37,31.9,24.2
451,The University of Manchester,UK,5,31.7,26.4
450,University of Munich,Germany,1,31.5,35.8
449,The University of Edinburgh,UK,6,31.4,21.8
448,University of Florida,USA,38,31,21.8
447,Technical University Munich,Germany,2,30.8,41.5
447,The Australian National University,Australia,1,30.8,17.1
445,Carnegie Mellon University,USA,39,30.5,33.7
445,University of Copenhagen,Denmark,1,30.5,29.6
443,University of Zurich,Switzerland,2,30.4,12.1
442,University of North Carolina at Chapel Hill,USA,40,30.3,12.1
441,The Hebrew University of Jerusalem,Israel,1,30,32
440,Osaka University,Japan,3,29.6,12.1
439,McGill University,Canada,3,29.5,27.7
439,University of Bristol,UK,7,29.5,10.5
437,University of Paris Sud (Paris 11),France,2,29.4,32
436,Uppsala University,Sweden,2,29.3,25
435,The Ohio State University - Columbus,USA,41,29,17.1
435,University of Heidelberg,Germany,3,29,19.1
433,University of Oslo,Norway,1,28.6,25
