World Rank,Institution,Country,National Rank,Total Score,Additional Score
500,Harvard University,USA,1,100,100
499,Stanford University,USA,2,72.1,41.8
498,Massachusetts Institute of Technology (MIT),USA,3,70.5,68.4
497,University of California-Berkeley,USA,4,70.1,66.8
496,University of Cambridge,UK,1,69.2,79.1
495,Princeton University,USA,5,60.7,52.1
494,California Institute of Technology,USA,6,60.5,48.5
493,Columbia University,USA,7,59.6,65.1
492,University of Chicago,USA,8,57.4,61.4
492,University of Oxford,UK,2,57.4,51
490,Yale University,USA,9,55.2,48.8
489,University of California Los Angeles,USA,10,51.9,30.2
488,Cornell University,USA,11,50.6,37.6
487,University of California San Diego,USA,12,49.3,19.7
486,University of Washington,USA,13,48.1,21.7
485,University of Pennsylvania,USA,14,47.1,32.4
484,The Johns Hopkins University,USA,15,47,38.7
483,University of California San Francisco,USA,16,45.2,0
482,Swiss Federal Institute of Technology Zurich,Switzerland,1,43.9,30.2
481,University College London,UK,3,43.3,28.8
480,The University of Tokyo,Japan,1,43.2,31.6
479,The Imperial College of Science Technology and Medicine,UK,4,42.3,14.9
479,University of Michigan-Ann Arbor,USA,17,42.3,35.3
477,University of Toronto,Canada,1,41.8,20.4
477,University of Wisconsin - Madison,USA,18,41.8,31.6
475,Kyoto University,Japan,2,39.9,30.2
474,New York University,USA,19,39.6,28.8
473,Northwestern University,USA,20,39.4,15.8
473,University of Illinois at Urbana-Champaign,USA,20,39.4,30.7
471,University of Minnesota Twin Cities,USA,22,39.3,30.2
470,Duke University,USA,23,38.4,15.8
469,Washington University in St. Louis,USA,24,37.8,19
468,Rockefeller University,USA,25,37.6,17.5
467,University of Colorado at Boulder,USA,26,37.2,12.9
466,Pierre and Marie  Curie University - Paris 6,France,1,35.4,34.5
465,University of North Carolina at Chapel Hill,USA,27,35.2,9.1
464,University of British Columbia,Canada,2,35.1,15.8
463,The University of Manchester,UK,5,34.7,19
462,The University of Texas at Austin,USA,28,34.5,16.6
462,University of Copenhagen,Denmark,1,34.5,22.3
460,University of California Santa Barbara,USA,29,34.3,14.9
459,University of Paris Sud (Paris 11),France,2,34.2,31.1
458,University of Maryland College Park,USA,30,32.7,19.7
457,The University of Melbourne,Australia,1,32.6,17.5
456,The University of Edinburgh,UK,6,32.5,21.1
456,The University of Texas Southwestern Medical Center at Dallas,USA,31,32.5,19
454,Karolinska Institute,Sweden,1,31.9,22.9
454,University of California Irvine,USA,32,31.9,0
452,Heidelberg University,Germany,1,31.1,13.9
452,University of Munich,Germany,1,31.1,26.3
450,University of Southern California,USA,33,31,0
449,Rutgers The State University of New Jersey - New Brunswick,USA,34,30.9,10.5
448,Technical University Munich,Germany,3,30.7,35.7
447,Vanderbilt University,USA,35,30.6,15.8
