"","Country","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"1","Argentina",251,326,326,326,326,326,326,326,326,326
"2","Australia",3376,3634,3756,3911,3914,4004,4132,4569,4576,4828
"3","Austria",1071,1232,1032,1032,1132,1332,1232,1032,1032,981
"4","Belgium",2057,2157,2157,2157,2157,2092,2043,2043,2197,2141
"5","Brazil",829,729,880,1031,1031,1131,1182,1131,1031,1031
"6","Canada",5905,5760,5788,5713,5753,5961,5906,5726,5680,5578
"7","Chile",151,51,102,102,102,102,102,102,102,102
"8","China",1383,1734,2189,2218,2318,2972,3148,3828,4203,5932
"9","China-hk",1055,1130,1055,1055,1055,1230,1230,1405,1130,1305
"10","China-tw",730,730,881,932,1182,1082,1082,1384,1284,1182
"11","Czech",251,251,251,251,251,251,251,251,251,251
"12","Denmark",1448,1449,1408,1341,1339,1341,1450,1449,1456,1467
"13","Finland",829,831,832,888,833,884,831,832,829,832
"14","France",5329,4867,5175,5259,5470,5217,5196,5093,5576,5382
"15","Germany",9667,9791,9787,9828,9902,9407,9346,8963,8923,8769
"16","Greece",402,302,402,402,402,402,402,302,302,202
"17","Hungary",402,302,302,302,302,302,302,202,202,202
"18","India",253,202,302,302,202,202,151,151,151,151
"19","Ireland",353,453,453,553,553,453,553,553,553,628
"20","Israel",1904,1922,2018,1816,1868,1910,1925,1957,2004,1658
"21","Italy",4426,3898,3745,3547,3521,3672,3622,3520,3469,3521
"22","Japan",6914,6342,6130,5917,5900,5293,5102,4871,4788,4519
"23","Mexico",326,326,326,326,326,326,326,326,326,251
"24","Netherlands",3474,3575,3724,3664,3713,3717,3975,3937,3919,3997
"25","New-Zealand",555,655,655,755,655,655,655,730,655,604
"26","Norway",885,886,885,890,989,1079,979,987,985,934
"27","Poland",353,302,302,302,302,302,302,302,302,302
"28","Russia",585,582,576,582,575,578,575,472,573,568
"29","Singapore",527,527,527,527,527,527,627,627,627,702
"30","South-Africa",504,504,504,453,453,453,453,453,453,604
"31","South-Korea",1233,1434,1383,1483,1534,1735,1686,1735,1786,1935
"32","Spain",1309,1334,1534,1434,1636,1610,1561,1561,1710,1887
"33","Sweden",3339,3274,3159,3056,2822,3149,3044,3115,3112,3126
"34","Switzerland",2562,2717,2716,2719,2721,2672,2716,2721,2725,2830
"35","UK",11639,12422,12439,12517,12251,11378,11042,11113,10971,11227
"36","USA",49294,48808,48798,48183,47550,47267,46930,46441,45636,43659
